[ 2026-05-03 01:29:23,494 ] 18 root - INFO - Initiate the data ingestion
[ 2026-05-03 01:29:25,182 ] 61 root - INFO - Performed train test split on the dataframe
[ 2026-05-03 01:29:25,182 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-03 01:29:25,182 ] 71 root - INFO - Exporting train and test file path.
[ 2026-05-03 01:29:25,212 ] 80 root - INFO - Exported train and test file path.
[ 2026-05-03 01:29:25,215 ] 23 root - INFO - Initiate the data validation
[ 2026-05-03 01:29:25,223 ] 33 root - INFO - the number of cols the dataframe should have--> 2
[ 2026-05-03 01:29:25,223 ] 34 root - INFO - Data frame has  columns: 31
[ 2026-05-03 01:29:25,223 ] 33 root - INFO - the number of cols the dataframe should have--> 2
[ 2026-05-03 01:29:25,223 ] 34 root - INFO - Data frame has  columns: 31
[ 2026-05-03 01:29:25,297 ] 25 root - INFO - data validation completed
