[ 2026-05-08 00:41:28,928 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-08 00:41:30,635 ] 61 root - INFO - Performed train test split on the dataframe
[ 2026-05-08 00:41:30,635 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-08 00:41:30,635 ] 71 root - INFO - Exporting train and test file path.
[ 2026-05-08 00:41:30,663 ] 80 root - INFO - Exported train and test file path.
[ 2026-05-08 00:41:30,666 ] 25 root - INFO - Initiate the data validation
[ 2026-05-08 00:41:30,674 ] 33 root - INFO - the number of cols the dataframe should have--> 2
[ 2026-05-08 00:41:30,674 ] 34 root - INFO - Data frame has  columns: 31
[ 2026-05-08 00:41:30,674 ] 33 root - INFO - the number of cols the dataframe should have--> 2
[ 2026-05-08 00:41:30,674 ] 34 root - INFO - Data frame has  columns: 31
[ 2026-05-08 00:41:30,743 ] 27 root - INFO - data validation completed
[ 2026-05-08 00:41:30,743 ] 30 root - INFO - data transformation started.
[ 2026-05-08 00:41:30,743 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-08 00:41:30,743 ] 66 root - INFO - Starting data transformation
[ 2026-05-08 00:41:30,751 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-08 00:41:30,751 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-08 00:41:30,754 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 00:41:30,757 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 00:41:30,757 ] 34 root - INFO - data transformation completed.
[ 2026-05-08 00:41:30,757 ] 36 root - INFO - Model Training sstared
